pad_water_quality_2010.csv,,,,,,,,,,,,,
"Water quality data and river velocities in the Peace-Athabasca Delta, June/July 2010",,,,,,,,,,,,,
"Temp, SpCond, Turb, Chl, and CDOM collected with a Eureka Manta Multiprobe.  ",,,,,,,,,,,,,
SSC measured by filtering water samples and weighing the remaining sediment,,,,,,,,,,,,,
Collected by Tamlin Pavelsky and Gabriel Parrish,,,,,,,,,,,,,
"File last modified October 7, 2012",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Site_Name,Date,Local_Time,Latitude,Longitude,Temperature,SpCond,Turbidity,Chl,CDOM,SSC,Secchi_Disc_Depth,SF_Velocity,Depth
,YYYMMDD,hh:mm,Decimal Degrees,Decimal Degrees,deg C,uS/cm,NTU,ug/L,ug/L,mg/L,cm,m/s,m
Ath Abv Cec,20100621,12:51,58.44226,-111.37828,20.46,252.5,72.7,14.84,321.34,102.1429,25,1.03,3.1
Ath Abv Cec,20100621,13:19,58.44348,-111.3807,20.49,252.2,72.8,15.8,320.33,115.7143,25,0.95,2.8
Ath Abv FC,20100621,14:12,58.45258,-111.08581,20.51,252.5,74.2,15.32,319.07,92.5,35,0.78,4.4
Ath Abv FC,20100621,14:21,58.45248,-111.08511,20.5,250.3,63.5,14.63,334.91,90,33.5,0.77,4.7
Ath Abv FC,20100621,14:29,58.45261,-111.08594,20.51,250.8,65.2,14.17,333.51,72.8571,31.5,0.8,5.1
FC Abv CP,20100621,14:54,58.56043,-111.0666,21.18,249.8,81,13.63,314.8,103.5714,31,0.75,2.6
FC Abv CP,20100621,15:05,58.56073,-111.06581,21.18,249.8,81,13.63,314.8,16.4286,29,0.59,2
Embarras Abv CP,20100621,15:19,58.56691,-111.09356,20.89,249.6,21.3,12.45,416.04,103.5714,58,-9999,2.8
Lath Trans 1,20100622,9:25,58.75784,-111.02585,17.25,76.8,41.7,2.36,58.45,17.5439,30,-9999,1.5
Lath Trans 2,20100622,9:40,58.75214,-111.02021,17.16,72.6,38,2.22,57.82,17.5,30,-9999,1.7
Lath Trans 3,20100622,9:43,58.74855,-111.01388,17.19,68.8,32.6,2.02,58.17,16.0714,35,-9999,1.8
Lath Trans 4,20100622,9:52,58.74542,-111.00838,17.37,94.3,24.4,2.39,86.83,12.6316,40,-9999,1.9
Lath Trans 5,20100622,10:00,58.74207,-111.00194,17.47,111.8,19.9,2.59,110.67,12.5,50,-9999,2
Lath Trans 6,20100622,10:06,58.73911,-110.99572,17.53,146.1,17.2,3.21,164.78,12.1429,50,-9999,2
Lath Trans 7,20100622,10:15,58.736,-110.98885,17.61,190.5,22.2,4.93,301.54,15.2727,50,-9999,2.1
Lath Trans 8,20100622,10:21,58.73332,-110.98256,17.63,204,25.4,5.77,357.95,17.4546,45,-9999,2.1
Lath Trans 9,20100622,10:28,58.73069,-110.97622,17.7,216,29.7,6.38,396.43,20.7143,40,-9999,2.1
Lath Trans 10,20100622,10:32,58.72753,-110.96965,17.98,227.4,37.9,7.48,405.67,28.1482,35,-9999,2.1
Lath Trans 11,20100622,10:40,58.72451,-110.96327,18.08,235.1,38.7,7.83,408.56,29.6429,30,-9999,2.1
Lath Trans 12,20100622,10:46,58.72113,-110.95671,18.02,236.5,40.9,8.1,416.41,32.8571,25,-9999,2.1
Lath Trans 13,20100622,10:51,58.71827,-110.95068,18.04,237.1,45.6,8.38,407.36,37.1429,25,-9999,2.1
Lath Trans 14,20100622,10:57,58.71497,-110.94376,17.98,237.6,51.9,9.21,399,43.9286,25,-9999,2.1
Lath Trans 15,20100622,11:03,58.71206,-110.93768,17.95,239,57.4,10.01,388.43,50.7143,20,-9999,2.1
Lath Trans 16,20100622,11:11,58.70962,-110.93106,18.14,241.2,60,11.38,377.69,53.5714,20,-9999,2.1
Lath Trans 17,20100622,11:17,58.70688,-110.92428,18.33,244,63.2,12.18,364.11,57.1429,17,-9999,2
Lath Trans 18,20100622,11:25,58.70384,-110.91735,18.63,245.1,66.3,12.67,349.53,61.0714,20,-9999,1.9
Lath Trans 19,20100622,11:30,58.70099,-110.91068,18.22,253.6,48.2,11.15,382.59,47.8571,20,-9999,1.8
Lath Trans 20,20100622,11:36,58.69803,-110.90318,17.94,257.3,66.5,12.66,323.5,56.7857,20,-9999,1.8
Lath Trans 21,20100622,11:41,58.69577,-110.89612,16.84,252.9,67.8,12.93,323.07,52.1429,20,-9999,1.7
Lath Trans 22,20100622,11:47,58.69332,-110.88925,17.3,249,101.4,16.26,286.32,93.5714,15,-9999,1.5
Lath Trans 23,20100622,11:52,58.69049,-110.88174,17.29,248.8,111.4,16.23,277.15,103.9286,15,-9999,1.1
Lath Trans 24,20100622,11:57,58.68822,-110.87508,19.51,250.4,86.2,14.28,294.48,97.5,15,-9999,0.8
Garouche Cr,20100622,13:36,58.64203,-111.231,20.7,310.6,3.7,9.73,404.62,2.5,105,0.02,1.1
QF Btwn FC and DC,20100622,14:11,58.66893,-111.24673,18.27,250.7,27.5,8.62,394.1,17.1429,40,0.21,5.6
Lath Trans 1,20100623,10:38,58.75784,-111.02585,17.77,76.5,35,2.02,58.8,18.9286,30,-9999,1.5
